comment,attachments,title,postedDate
"I believe training AI using copyrighted material should involve the consent of the creator of said copyrighted material. This should be done before training and proper effort must be made to ensure that the creator is fully aware of the terms in giving their consent, such as the case of opt in and opt out systems. The creator should also have the right to dictate how their work will be used by developers and users of AI.",[],Comment from Anonymous,2023-10-31T04:00:00Z
"AI blatantly steals from artists, writers, and other creatives to make a worse version of it for themselves by Frankensteining them together. Usage of AI for creative works should be illegal.",[],Comment from Anonymous,2023-10-31T04:00:00Z
"AI image generators is what I have the most experience with; unlike in a regular search engine, an AI image generator removes the owner of art, and combines pre-existing art with other pre-existing art - always without crediting its original creators. The end result is a collage that lacks imagination, originality, and any kind of creative skills. It is stealing labour from artists, who already struggle to be paid fairly in a capitalist system that devalues the existence and significance of arrt, whilst still constantly using it, and taking advantage of its creators. The lack of protection that regular artists struggle with is only going to get worse the more pervasive generative AIs become, and without regulation, it will be impossible to have ownership over work you have created.",[],"Comment from Olorenshaw, Molly",2023-10-31T04:00:00Z
"I believe that companies developing generative AI technology should have to acquire written consent from every person whose work they use to train their models, requiring opt-in, not opt-out. The burden should be on those who seek to profit from other people&rsquo;s work to gain permission from those people; ordinary citizens should not be burdened with the responsibility of seeking out every single corporation who might want to exploit their work. I understand that large sample sizes are crucial for training these neural networks, but those sample sizes should be sourced ethically, and that means informed consent. <br/><br/>Individuals should not be allowed to copyright work generated by these algorithms. If profit is generated from AI, it should be distributed among everyone whose work went into the creation of the neural network, including people whose data was used to train said network. Tech companies should have to keep detailed registers of where they sourced their data, who the original author was, when the data was sourced, and how it was acquired. There should be a governmental standard for records of provenance, and there should be penalties for noncompliance. <br/><br/>Tech companies must do everything in their power to make the utilization of AI identifiable: requiring licenses for use, retaining records of who used the technology and when. Most importantly, if AI technology is abused in any way, the creator of the neural network should be held liable for damages. Hopefully, this will incentivize better record-keeping, and a more mindful attitude about the harm that neural networks can cause in the wrong hands.",[],"Comment from Cohen, Emi",2023-10-31T04:00:00Z
"I personally think that the act of creating Ai creative work should be terminated completely, however the act of monetizing said work for commercial benefit should not be allowed. Many artists have had their work stolen and used to create Ai artwork and have had their art been used to train Ai programs without proper permission to do so. Ai artwork has the possibility to rid artists of their jobs and we&rsquo;ve already seen examples of company&rsquo;s use Ai artwork as promotional material (ex. See Cytus 2 &amp; Netflix) ",[],Comment from Anonymous,2023-10-31T04:00:00Z
"AI at its core is just a hi-tech aggregator of the creative work of millions of uncompensated creators and workers. <br/><br/>As a producer, filmmaker, stock footage provider and the plaintiff in Allen v. Cooper I continue to be dismayed by the blatant and ongoing theft of our intellectual property by AI companies. <br/><br/>For example, doing a quick search for my own unique content of footage from the Blackbeard&rsquo;s Queen Anne&rsquo;s Revenge Shipwreck Project on the &ldquo;Have I Been Trained&rdquo; website, I discovered that at least three of my copyrighted &amp; watermarked images (HIBT Screen Shot 2023-10-06 at 8.59.35 AM.png &ndash; attached) had been scraped. These images and my personal work/industry/creations were stolen without my knowledge, permission or license. Who knows what other images and video have been illegally appropriated from my still and video collections by AI companies? And, even if I&rsquo;m aware of the misuse of my intellectual property by AI pirates, what remedies do I have in this &ldquo;after the fact situation?&rdquo;<br/><br/>In a pattern of behavior even Charles Dickens would recognize the tech industry has shamelessly made indentured servants of us all, monetizing our work and creations without compensation while simultaneously monetizing our creative output for their own financial gain. <br/><br/>Frederick (Rick) Allen<br/>Nautilus Productions LLC<br/>",[],Comment from Nautilus Productions LLC,2023-11-01T04:00:00Z
"With the increment of AI usage, it has come to many the attention of copyright issues. While AI has the potential of being of great function, it seems to be leaning toward a harmful road. The usage of AI has been used to create creative outlets, such as: writing, art, music and homework essays, etc; by modifying various figures/types of styles to create ONE sole piece.<br/>This is quite harmful since it destroys the creativity and hard-work for an individual without giving the credits of their work. I understand that AI does its work by its self, but it does it by COPYING first.<br/>Please take that into notice.",[],Comment from Anonymous,2023-10-31T04:00:00Z
"Artificial intelligence, in its current form, is largely trained on stolen media from various sites and creators, with blatant disregard for permission to use the stolen media.  Many artists, writers, and other creators do not grant permission to use their works to train algorithms, and those in support of artificial intelligence view it as a way of replacing creators, despite the algorithms merely cobbling together something from existing parts taken from their original creators.  It has reached a point that creators have been forced to use external means of protecting their creations, such as visual artists utilizing the software Glaze to mask their work, which those training artificial intelligence have called &quot;poisoning&quot; the algorithms--all but admitting that they do not bother to contact the creators to use their work.<br/><br/>In its current state, artificial intelligence is little more than a Frankenstein&#39;s monster of parts stolen from other creators.  Those utilizing artificial intelligence tout their &quot;hard work&quot;, when it is little more than feeding a description and stolen content into a program that spits out a hodgepodge for them.  The true hard work is that of the creators who made the content in the first place, pouring hours upon hours into their work only for others to decide &quot;I can do that too&quot; and steal it for selfish purposes.  Artificial intelligence is a blatant mockery of media creation, and can never replace the original creators; &quot;content&quot; produced by artificial intelligence cannot be granted any form of copyright protection, as there is nothing original about it to protect.  To allow &quot;content&quot; produced by these algorithms the safety of copyright only reinforces the belief that the original creators cannot protect their work, and in time it will lead to a severe drought of original content and an upsurge of algorithmic regurgitation.",[],"Comment from Ross, Sami-Jo",2023-10-31T04:00:00Z
"Ai writing and art is almost entirely comprised of stolen works, sometimes even dropping watermarks onto their generated images. It would be disrespectful to anybody out there actually creating anything legitimate to allow these random generations to be owned and copyrighted. The lines between actual art and generated content would become much harder to cross and devalue any actual work a human being is doing. Also the idea that somebody would copyright something that they themselves by definition CANNOT recreate seems ridiculous to me.",[],"Comment from Catling , Meghan ",2023-10-31T04:00:00Z
"AI is a tool that could be helpful in areas of science and some workforce automation (with proper limits and not replacements of human workers), but it should not be applied to art. AI is about feeding the correct information to the system and with art, the only way to do that is by stealing people&rsquo;s works to show AI how to make art. AI should not be used in this space. However, if it is, there needs to be safeguards and compensation, especially in Hollywood. Writers and actors should be able to work with AI and not be dominated by it. If AI infringes on copyright, the guilty party should be fined for copyright infringement. It should not be allowed to replace human artists. It needs conditions and when those conditions are violated, fines must be imposed. Technology should be used to improve human lives not replace human livelihoods.",[],"Comment from Reddy, Jessica",2023-10-31T04:00:00Z
"&quot;Artificial intelligence,&quot; as it is commonly known, is simply predictive text. An algorithm. There is nothing &quot;intelligent&quot; about it. ChatGPT and the like are built by scraping data and writing from the internet, very often without the original author&#39;s consent. This is, quite simply, theft. And the output of a computer program built on stolen data should not be allowed copyright.",[],"Comment from Gumeny , Eirik",2023-10-31T04:00:00Z
"I do not believe AI work, as it stands, should be copyrighted. Our current AI are not truly artificial intelligence--instead, they are statistic models trained on the work of human writers and creators. They are not truly creating something new, merely filling in the blanks when prompted. The copyrighting of AI created materials will see the bankruptcy of human creators, the loss of art as a way of life, and the in-sustainability of our culture. How are we to compete against computer models that are trained on our creations? How are we to be small artists when large business and conglomerates can copyright products made off of our work? How can we fight that? Copyrighting AI creations hurts everyone. ",[],"Comment from Iriel, Kate",2023-10-31T04:00:00Z
"Unregulated AI is dangerous as a tool to spread misinformation, as well as a way for large corporations to try and get around paying people living wages. I am a firm believer that AI generated work should NOT be copyright-able. All AI was trained on writing, photos, and art that didn&#39;t consent to being used that way with no reimbursement. Keep copyright to human made works",[],"Comment from Collins, Mandy",2023-10-31T04:00:00Z
"Hello, I am a concept artist in the game industry and I am concerned with unregulated generative AI because of threats to copyright and livelihoods. I have always been interested in developments in technology and science, but tools to &ldquo;make people&rsquo;s lives easier&rdquo; should not steal from them without consent to populate a huge database, a database that is the sole reason for the existence of genAI companies&rsquo; profits. ",[],"Comment from Lansdell, Sara",2023-10-31T04:00:00Z
"- I don&#39;t believe AI generated art should qualify for copyright on the grounds that it is not produced through human intentionality. <br/>- Intentionality is one of the definitions of what makes art &#39;art&#39;.<br/>- AI as a term tricks the reader/viewer into believing there is thought involved, rather than applied statistical analysis. <br/>- current AI practices involve unethical data scraping from creators and artists who have not decided of their own volition to contribute, therefore it is violating their own inherent copyright.<br/>- Current AI modes of learning favour confirming and then inflating biases in our societies that will continue to perpetuate those myths.<br/>- AI is not ready for this work.  It should not at this stage even be called &#39;Intelligence&#39;, rather it should be called what it actually is: automatic iterative generation.",[],"Comment from Dawson-Marsh, Matthew",2023-10-31T04:00:00Z
"Use of AI and training AI on other people&#39;s work and intellectual property or likeness should be far more regulated and compensated accordingly. It&#39;s pretty horrifying as an artist to think that someone can just pick up what you&#39;ve done, feed it to an AI algorithm, and have it spit out something similar and have someone call it your work. Not to mention having your work used to train said AI when you have not been asked nor given compensation. Training AI algorithms on people&#39;s faces, words, voices, art, photos, etc should require significant payment to the owners of said property every time said AI algorithm is used.",[],"Comment from Nudelman, Nicole",2023-10-31T04:00:00Z
"AI should just be used as an educational tool, not for stealing an actors image for use as an extra.  Acting is an art, not a graphic.  Writing takes REAL intelligence, not artificial.  Writers &amp; actors also are good enough to work very challenging hours to make a show work, giving up time slots that normal people use to spend with family or tending to one&rsquo;s personal life.  Why on earth should they be punished for their talent&rsquo;s &amp; flexibility of time - OR be forced into homelessness?  My suggestion is to stop looking for ways to be cheap and lazy - and chose a moral high ground instead.  You&rsquo;re going to want to be on the right side of history on these issues.  AI won&rsquo;t be writing the history books, the people you hurt will.  ",[],"Comment from Paap, Dawn",2023-10-31T04:00:00Z
"The data scraping of the internet and training of AI on copyrighted works are unethical at best and the potential for harm is so high when it comes to AI-generated works (as we are already seeing with AI &ldquo;written&rdquo; foraging books where misinformation has the potential to be deadly). AI doesn&rsquo;t learn, it is advanced applied statistics and it cannot be held responsible for the harm caused by the lies it creates and spreads. If it cannot have accountability it should not receive the same protections as human authorship.<br/><br/>Additionally, corporate interests are trying to remove the human element from creative projects and this is bad not only for creatives (authors, artists, writers, actors) but for the environment as AI requires so many resources to run. <br/><br/>Authors are now having to battle websites that refuse to take down AI-generated books with their names attached to them. Countless numbers of artists and creative individuals who rely on their work are now having it stolen, manipulated, and repackaged to be sold and profited off of by thieves using AI software. Not to mention the untold amounts of misinformation that is being pushed out using AI as well. In the wrong hands, AI is a massive detriment to us all.",[],"Comment from White, Audrey",2023-10-31T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I&#39;m a member of the Writers Guild of America and I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. The recently concluded 148-day WGA strike and ongoing SAG-AFTRA strike highlight the urgency of artificial intelligence (AI) issues for creative workers. The new WGA agreement contains important protections, prohibiting media companies from using AI to devalue our work. Writers, however, cannot address all of our concerns through collective bargaining&mdash;we need public policy solutions too. <br/><br/>AI models that generate art replace human creativity through the theft of our work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work we create, and then regurgitate and mimic us in their outputs. Film and television writers are employees; we predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of our work to train AI models and should be compensated fairly if we choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of our creative lives and work. <br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>Sarah W Gallagher<br/>New York, NY",[],"Comment from Gallagher, Sarah W",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I&#39;m a member of the Writers Guild of America and I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. The recently concluded 148-day WGA strike and ongoing SAG-AFTRA strike highlight the urgency of artificial intelligence (AI) issues for creative workers. The new WGA agreement contains important protections, prohibiting media companies from using AI to devalue our work. Writers, however, cannot address all of our concerns through collective bargaining&mdash;we need public policy solutions too. <br/><br/>AI models that generate art replace human creativity through the theft of our work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work we create, and then regurgitate and mimic us in their outputs. Film and television writers are employees; we predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of our work to train AI models and should be compensated fairly if we choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of our creative lives and work. <br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>Lon Zimmet<br/>Basking Ridge, NJ",[],"Comment from Zimmet, Lon",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I&#39;m a member of the Writers Guild of America and I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. The recently concluded 148-day WGA strike and ongoing SAG-AFTRA strike highlight the urgency of artificial intelligence (AI) issues for creative workers. The new WGA agreement contains important protections, prohibiting media companies from using AI to devalue our work. Writers, however, cannot address all of our concerns through collective bargaining&mdash;we need public policy solutions too. <br/><br/>AI models that generate art replace human creativity through the theft of our work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work we create, and then regurgitate and mimic us in their outputs. Film and television writers are employees; we predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of our work to train AI models and should be compensated fairly if we choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of our creative lives and work. <br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>erik agard<br/>kansas city, MO",[],"Comment from agard, erik",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I&#39;m a member of the Writers Guild of America and I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. The recently concluded 148-day WGA strike and ongoing SAG-AFTRA strike highlight the urgency of artificial intelligence (AI) issues for creative workers. The new WGA agreement contains important protections, prohibiting media companies from using AI to devalue our work. Writers, however, cannot address all of our concerns through collective bargaining&mdash;we need public policy solutions too. <br/><br/>AI models that generate art replace human creativity through the theft of our work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work we create, and then regurgitate and mimic us in their outputs. Film and television writers are employees; we predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of our work to train AI models and should be compensated fairly if we choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of our creative lives and work. <br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>Luke Paradise<br/>Nashville, TN",[],"Comment from Paradise, Luke",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I&#39;m a member of the Writers Guild of America and I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. The recently concluded 148-day WGA strike and ongoing SAG-AFTRA strike highlight the urgency of artificial intelligence (AI) issues for creative workers. The new WGA agreement contains important protections, prohibiting media companies from using AI to devalue our work. Writers, however, cannot address all of our concerns through collective bargaining&mdash;we need public policy solutions too. <br/><br/>AI models that generate art replace human creativity through the theft of our work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work we create, and then regurgitate and mimic us in their outputs. Film and television writers are employees; we predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of our work to train AI models and should be compensated fairly if we choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of our creative lives and work. <br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>Rebecca Kirsch<br/>Culver City, CA",[],"Comment from Kirsch, Rebecca",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I&#39;m a member of IATSE and I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. The recently concluded 148-day WGA strike and ongoing SAG-AFTRA strike highlight the urgency of artificial intelligence (AI) issues for creative workers. The new WGA agreement contains important protections, prohibiting media companies from using AI to devalue our work. Writers, however, cannot address all of these concerns through collective bargaining&mdash;we need public policy solutions too. <br/><br/>AI models that generate art replace human creativity through the theft of our work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work we create, and then regurgitate and mimic us in their outputs. Film and television writers are employees; we predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of our work to train AI models and should be compensated fairly if we choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of our creative lives and work. <br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>Lizzie Boyle",[],"Comment from Boyle, Lizzie",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I think one possible solution is to &ldquo;federalize&rdquo; the right of publicity as applied to voice, image and likeness embodied in copyrighted audio and audiovisual works. The resulting copyright interest should be allocated to the individual whose voice and/or image are included in the underlying work (and not the &ldquo;employers for hire&rdquo;). Regulations can be promulgated to delineate which uses are &ldquo;derivative works&rdquo; of the original copyrights and which are &ldquo;AI infringements&rdquo; of the newly federalized right of publicity. This is a problem that cannot be effectively regulated through the application of disparate state right of publicity laws. <br/><br/>Sincerely,<br/>Daniel Johnson<br/>Sherman Oaks, CA",[],"Comment from Johnson, Daniel",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I&#39;m a member of the Writers Guild of America and I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. The recently concluded 148-day WGA strike and ongoing SAG-AFTRA strike highlight the urgency of artificial intelligence (AI) issues for creative workers. The new WGA agreement contains important protections, prohibiting media companies from using AI to devalue our work. Writers, however, cannot address all of our concerns through collective bargaining&mdash;we need public policy solutions too. <br/><br/>AI models that generate art replace human creativity through the theft of our work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work we create, and then regurgitate and mimic us in their outputs. Film and television writers are employees; we predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of our work to train AI models and should be compensated fairly if we choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of our creative lives and work. <br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>Nicole Silverberg<br/>LOS ANGELES, CA",[],"Comment from Silverberg, Nicole",2023-11-01T04:00:00Z
"See attached file(s)The following comment submitted by Bernice Yu, Esq. will discuss ways AI generated materials can be used in training, contend AI generated work created by machine is not entitled to copyright and propose a strict liability standard to measure damages for negligent use of AI generated materials be applied because data cannot be denied that foreseeable dangerous consequences may result because of failure to assume responsibility for  what is generated and released without clear digital watermarking of machine generated content.<br/><br/>The purpose of copyright law is to promote the continuous creation of work in the arts and sciences by people.  Protection of work generated by people with copyright promotes progress in society.  Throughout history this body of copyrighted work has developed in an evolutionary manner where what exists today is derivative of past work and evocative of what will come in the future.<br/><br/>The intent of copyright is to afford certain limited time monopoly like rights and protections in exchange for human contributions to the body of work.  Exclusivity cannot be granted to mere ideas alone like consulting detectives or orphan boys prevailing over challenging circumstances .  Work cannot be the subject of copyright held exclusively by one individual author alone.  Instead authorship should be encouraged so that pleasure is found in attribution as a named author just as first lessons led us to be inspired to pen a sonnet, compose a song or sketch a drawing.  Learning is our joy.<br/><br/>Copyright is governed by complex rules of interpretation and a quality of recognition and association possessed through life experience and memory often summed up as look and feel. Human analysis to determine if a character is delineated enough to be copyrighted or whether the line to substantial similarity is crossed to find infringement cannot be replicated by a machine. The threshold to reach and be eligible for copyright protection should remain high and remain a human determination. By its very nature there should be a fair exchange between author and society so that collectively we all learn from one another. <br/><br/>Therefore giving an author a right to opt out of inclusion of their work in a learning model is antithetical to the spirit of copyright. It&rsquo;s problematic to restrict the incorporation of copyrighted work in order to shield or restrict viewers so that others cannot compare, analyze, criticize or comment.  To teach students we want to examine the best examples.  Democracy means we share viewpoints.  With science we all advance by sharing discoveries  Use of works in repositories to promote creativity does not necessarily mean a worker will be eliminated.  Most copyright on scripts and screenplays are held by producers and studios not the hired writers.  In my experience the public prefers a modern fresh take on what may be evocative images or a story as old as time.  Trend setters are part of the present and call for the new.  <br/><br/>Since copyright is meant to protect works which are generated by people with the sweat of their brow let&rsquo;s agree that all machine generated work should be required to disclose its attribution like a digital watermark and is not entitled to separate copyright. This would include AI images of identifiable persons or works of art.  These works are better protected by trademark law principles of dilution, passing off, defamation and false light as well as privacy and publicity laws.<br/><br/>There is a human weakness to desire to go beyond becoming a legend in your own mind and expanding into some immortal world domination status which is at the crux of the concern.  No longer is imitation considered a form of flattery.  Rather envy and fear pervades that machines which seemingly have a capacity to learn well beyond people will eliminate the need for people.  The reality of copyrighted work is the distillation of human endeavor which encapsulates deliberate and intentional human choices.  The essence of humanity cannot be counterfeited by AI.  People are more than an algorithm shuffling collected compiled data for random output.  Also todays celebrities who apply for copyright of their AI enhanced image to control its exploitation should be rejected. We often see celebrities marketing their image in various avenues of trade which makes sense because exploitation might anticipate continuous use in trade. But copyright is for a fixed term so no grant of copyright.<br/><br/>Those who develop AI are in the best position to be powerful guardians of society inspiring a more truthful internet as we strive to build a society which seeks permission as the first step rather them pleading for forgiveness as the last resort.  Understand trends and see frightening events occur inspired by propaganda propagated to manipulate. It is time for content providers or internet platforms to be responsible and guard against negative occurrences and consequences.  Otherwise liability awaits.",[],"Comment from Yu, Bernice",2023-11-01T04:00:00Z
See attached file(s),[],"Comment from Simses, Michael",2023-11-01T04:00:00Z
See attached file(s),[],"Comment from Policki, Miroslav",2023-11-01T04:00:00Z
"When AI-generated content appears in creative works, none of said work should be copyrightable, including the non-AI parts, through an &ldquo;unclean hands&rdquo; doctrine. This may seem quite a huge step, but it simply recognises the reality that there is probably no way of knowing if the AI-components&rsquo; underlying data was originally obtained legally or illegally. This means we should ban AI from the Arts. If we do not, then the creative industries will collapse, with it the Arts and, with that, humanity itself.<br/><br/>We also need to remember the underlying purpose of copyright law, which must be to protect originality. If people cannot protect their originality, then there will be far less of it, if any, which will hamper innovation. Imagine if companies could not protect their patents or trademarks. Entire industries would fail.<br/><br/>Much of the defence of AI is that it is only a &ldquo;tool&rdquo;. I agree it is a tool, but the question is whether that tool is being used legally or illegally. A crowbar used to burgle a house is also a tool. Data law needs to be strengthened and enforced, so that data can only be used if there is a valid legal reason. &ldquo;Fair use&rdquo; and &ldquo;legitimate interest&rdquo; is not good enough and &ldquo;research purposes&rdquo; should not be abused, especially where a commercial entity sets up a research non-profit, so it can then take the data to use for commercial purposes (data laundering).<br/><br/>As I say, AI needs to be banned from the Arts completely and this needs to be written into the Berne Convention. Nothing less will protect creators, democracy or human rights.",[],"Comment from Stead, Peter",2023-11-01T04:00:00Z
I want you to know that as a sag member and California constituent I feel there needs to be regulations around AI. Otherwise it will be abused to take away people&rsquo;s original ideas specifically buy large companies who will anything and sacrifice everyone to make their bottom line. ,[],"Comment from Delgado, Alexandria",2023-11-01T04:00:00Z
"I do not believe that AI generated content if anykind, writing, music, art, film, animation,etc should be allowed copyright protection of any kind. Copyrights should be reserved for human created works that support human creators. AI generated content is known to pull from data bases of stolen works from writers, artists etc and is unethical for others to profit off of this stolen data. People wishing to gain copyright protection from stolen AI generated data and content should not be rewarded with copyright protection. Please choose to support human creators and jobs. ",[],"Comment from Addessi, Josh",2023-11-01T04:00:00Z
"Dear U.S. Copyright Office,<br/><br/>I urge the U.S. Copyright Office to prioritize human creativity and creative workers during its inquiry into artificial intelligence and copyright. <br/><br/>AI models that generate art replace human creativity through theft of creative work. Such AI-generated work should not be entitled to copyright protection. Only human artists can create original art by drawing on our unique lived experience. Writers work to develop and maintain careers based on their individual voices. AI models, by contrast, are fed the work writers create and regurgitate and mimic it in their outputs. Film and television writers are employees; they predominantly create works for hire and are thus not copyright holders, but like other rightsholders, WGA members should be protected by a statutory right to consent to the use of their work to train AI models and should be compensated fairly if they choose to do so. AI technology as it is currently being implemented poses a profound threat to writers and the integrity of their creative lives and work. <br/><br/>Further, companies using large language models such as ChatGPT and Bard should be held liable when their tool slanders or misinforms.<br/><br/>Thank you for consideration of my comments.<br/><br/>Sincerely,<br/>Tom Mullaney<br/>Hillsborough, NC",[],"Comment from Mullaney, Tom",2023-11-01T04:00:00Z
AI generated artwork should never be allowed to be copyrighted or sold when it is unethically made. These generated images are generating billions of dollars on the hard work of so many artists who have decades of experience and hard work. The artists who&rsquo;s work are  included in these data sets should be compensated for damages and moving forward AI companies should not use images unless given permission.,[],"Comment from Erbe, Christian",2023-11-01T04:00:00Z
"&quot;AI art&quot; is stealing content in front of everyone, most Tech people rather spoil everything rather than actually letting people enjoy their craft and learning the skills required to be an artist. AI isn&#39;t about making life easier for artist. If art as a craft  dies, then the entertainment industry will take a blow, and since the dawn of time, people need quality entertainment/art.",[],"Comment from Boutie, Félix",2023-11-01T04:00:00Z
"Hi - I am a Los Angeles-based screenwriter working in television writers rooms. I believe your office should mandate an extremely high standard for whether or not you can copyright AI generated art or text. I think it should be highly constrained because you&#39;re really just remixing the underlying training data. Equally importantly: training an AI on a writer&#39;s (or artist&#39;s or actor&#39;s or musician&#39;s) work should be prohibited without full consultation, meaningful consent, and generous compensation via a negotiated, fully informed OPT IN license with the writer/artist themselves. And that includes cases of work for hire.  In that case the training right should be retained by the original author.",[],"Comment from Jacobs, Joshua",2023-11-01T04:00:00Z
The AI executive order - just saw a notice of it being published - nowhere do I see protections for artists/creatives (the first victims)   -- from AI tech - currently stealing from artists as I type - Stability; Midjourney and a host of others <br/><br/>Europe seems to have covered this for artists<br/>We need the same in the US<br/><br/>What is the point of millions of artists (taxpayers and voters) who have already given submissions about all the harm done to them<br/> - if they are going to be ignored ??<br/><br/>The harm to artists and the method of stealing has been well and truly documented - its not like no one knows at this point<br/><br/>Just curious why no protection <br/><br/>Its not just artists - its the domino effect - artists  license to BIG US companies; stores etc -<br/>Said companies legitimately license from artists <br/>Allowing stealing from artists - is allowing stealing from above companies; their employees who depend on them; their vendors etc<br/><br/>Are huge US companies/ manufacturers/ retailers - the list goes on -  not important also ??<br/><br/>,[],Comment from Anonymous,2023-11-01T04:00:00Z
"As a graphic designer and advertising copywriter with over 20 years experience in the field, I am strongly opposed to the way generative AI platforms are scraping the web and stealing/copying existing creative works. It would be wrong for an AI to read &quot;The Old Man and the Sea&quot; and then proceed to write a new novel in the same style as Ernest Hemingway. It should be considered similarly wrong for an AI to read website copy, ads, blog articles, etc and copy them in a certain style. Anything that a creator publishes, whether graphic design, written copy, videos, animation, illustration, photography etc. should be considered protected work under copyright law. We, as artists, should be asked to &quot;opt in&quot; to &quot;training&quot; (stealing) AI software, instead of the reverse. Right now, those of us with public portfolios are risking having our work stolen or copied for the sake of AI &quot;learning&quot; how to generate images, when it fact it is mostly copying the hard work of those who came before. Generative AI should be heavily regulated in the same way that video and published work piracy is considered a crime, so should this.",[],"Comment from Pesavento, Tommy",2023-11-01T04:00:00Z
